risk_asi,risk_llm,primary,scenario,block_id,method_id,method_slug,rating,layer,method_type,prod_viable,effectiveness,robustness,evidence_level,tools_prod
ASI04,"LLM03, LLM07",ASI04,"↳ rug-pull, отравление навыка / MCP",row-asi04-rugpull,45,45-agentdojo-как-эталонный-набор-испытаний,мета,tests,T,false,meta-tool,n/a,strong,UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo
ASI04,LLM03,ASI04,↳ вредонос в пакетах и CI,row-asi04-ci,26,26-tool-poisoning-scan,выс.,supply-chain,S,true,high,medium,strong,microsoft/agent-governance-toolkit snyk/agent-scan
ASI04,LLM03,ASI04,↳ вредонос в пакетах и CI,row-asi04-ci,27,27-статическая-проверка-навыков-и-плагинов,ср.,supply-chain,S,partial,medium,medium,moderate,GoPlusSecurity/agentguard
ASI04,LLM03,ASI04,↳ вредонос в пакетах и CI,row-asi04-ci,29,29-проверка-зависимостей-ci-и-сценариев-установки,ср.,supply-chain,D,true,medium,medium,moderate,
ASI04,LLM03,ASI04,↳ вредонос в пакетах и CI,row-asi04-ci,30,30-static-analysis-code,ср.,code,S,true,medium,low,strong,anthropics/claude-code-security-review meta-llama/PurpleLlama protectai/modelscan semgrep/semgrep
ASI04,LLM03,ASI04,↳ вредонос в пакетах и CI,row-asi04-ci,31,31-допуск-артефактов-и-отзыв-по-чёрному-списку,ср.,supply-chain,S,partial,medium,medium,moderate,protectai/modelscan
ASI04,LLM03,ASI04,↳ вредонос в пакетах и CI,row-asi04-ci,32,32-aibom-inventory,ср.,supply-chain,D,true,low,low,strong,microsoft/agent-governance-toolkit snyk/agent-scan
ASI04,LLM03,ASI04,↳ вредонос в пакетах и CI,row-asi04-ci,44,44-red-team-regression,мета,meta,T,true,high,medium,strong,NVIDIA/garak UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo microsoft/PyRIT promptfoo/promptfoo
ASI04,LLM03,ASI04,↳ вредонос в пакетах и CI,row-asi04-ci,45,45-agentdojo-как-эталонный-набор-испытаний,мета,tests,T,false,meta-tool,n/a,strong,UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo
ASI04,LLM04,ASI04,Отравление обучения / артефактов модели,row-asi04-train,25,25-контроль-целостности-описаний-инструментов,ср.,supply-chain,D,true,medium,medium,moderate,luckyPipewrench/pipelock microsoft/agent-governance-toolkit
ASI04,LLM04,ASI04,Отравление обучения / артефактов модели,row-asi04-train,26,26-tool-poisoning-scan,ср.,supply-chain,S,true,high,medium,strong,microsoft/agent-governance-toolkit snyk/agent-scan
ASI04,LLM04,ASI04,Отравление обучения / артефактов модели,row-asi04-train,27,27-статическая-проверка-навыков-и-плагинов,ср.,supply-chain,S,partial,medium,medium,moderate,GoPlusSecurity/agentguard
ASI04,LLM04,ASI04,Отравление обучения / артефактов модели,row-asi04-train,29,29-проверка-зависимостей-ci-и-сценариев-установки,ср.,supply-chain,D,true,medium,medium,moderate,
ASI04,LLM04,ASI04,Отравление обучения / артефактов модели,row-asi04-train,31,31-допуск-артефактов-и-отзыв-по-чёрному-списку,ср.,supply-chain,S,partial,medium,medium,moderate,protectai/modelscan
ASI04,LLM04,ASI04,Отравление обучения / артефактов модели,row-asi04-train,44,44-red-team-regression,мета,meta,T,true,high,medium,strong,NVIDIA/garak UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo microsoft/PyRIT promptfoo/promptfoo
ASI04,LLM04,ASI04,Отравление обучения / артефактов модели,row-asi04-train,45,45-agentdojo-как-эталонный-набор-испытаний,мета,tests,T,false,meta-tool,n/a,strong,UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo
ASI04,LLM04,ASI04,Отравление обучения / артефактов модели,row-asi04-train,46,46-memory-protection,ср.,memory,S,false,medium,low,strong,
ASI05,LLM06,ASI05,Побег из песочницы / неожиданное исполнение,row-asi05-sandbox,30,30-static-analysis-code,ср.,code,S,true,medium,low,strong,anthropics/claude-code-security-review meta-llama/PurpleLlama protectai/modelscan semgrep/semgrep
ASI05,LLM06,ASI05,Побег из песочницы / неожиданное исполнение,row-asi05-sandbox,33,33-изоляция-агента-в-микровиртуальных-машинах-и-контейнерах,выс.,infra,A,true,high,high,strong,All-Hands-AI/OpenHands e2b-dev/E2B sattyamjjain/agent-airlock
ASI05,LLM06,ASI05,Побег из песочницы / неожиданное исполнение,row-asi05-sandbox,34,34-os-sandbox-openshell,выс.,infra,D,false,high,medium,medium,
ASI05,LLM06,ASI05,Побег из песочницы / неожиданное исполнение,row-asi05-sandbox,35,35-уровни-исполнения-и-изоляция-рабочего-каталога,ср.,infra,A,partial,medium,medium,weak,Agentic-AI-Risk-Mitigation/Janus All-Hands-AI/OpenHands e2b-dev/E2B microsoft/agent-governance-toolkit
ASI05,LLM06,ASI05,Побег из песочницы / неожиданное исполнение,row-asi05-sandbox,44,44-red-team-regression,мета,meta,T,true,high,medium,strong,NVIDIA/garak UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo microsoft/PyRIT promptfoo/promptfoo
ASI05,LLM06,ASI05,Побег из песочницы / неожиданное исполнение,row-asi05-sandbox,45,45-agentdojo-как-эталонный-набор-испытаний,мета,tests,T,false,meta-tool,n/a,strong,UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo
ASI07,—,ASI07,Небезопасная связь между агентами,row-asi07-multi,15,15-правила-последовательности-вызовов-и-потоков-данных,ср.,action,D,true,high,high,moderate,snyk/agent-scan
ASI07,—,ASI07,Небезопасная связь между агентами,row-asi07-multi,17,17-формальная-проверка-политик-и-сужение-привилегий,низ.,action,D,partial,high,high,moderate,open-policy-agent/opa
ASI07,—,ASI07,Небезопасная связь между агентами,row-asi07-multi,24,24-mcp-gateway-rbac,ср.,network,D,true,medium,medium,strong,agentgateway/agentgateway
ASI07,—,ASI07,Небезопасная связь между агентами,row-asi07-multi,36,36-crypto-agent-identity,выс.,identity,D,false,medium,medium,strong,microsoft/agent-governance-toolkit
ASI07,—,ASI07,Небезопасная связь между агентами,row-asi07-multi,41,41-сопоставление-защит-с-требованиями-стандартов,ср.,audit,D,partial,audit-only,medium,moderate,microsoft/agent-governance-toolkit
ASI07,—,ASI07,Небезопасная связь между агентами,row-asi07-multi,43,43-две-модели-с-разделением-доверия-и-карантином,выс.,architecture,A,partial,high,high,moderate,
ASI07,—,ASI07,Небезопасная связь между агентами,row-asi07-multi,44,44-red-team-regression,мета,meta,T,true,high,medium,strong,NVIDIA/garak UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo microsoft/PyRIT promptfoo/promptfoo
ASI07,—,ASI07,Небезопасная связь между агентами,row-asi07-multi,45,45-agentdojo-как-эталонный-набор-испытаний,мета,tests,T,false,meta-tool,n/a,strong,UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo
ASI08,LLM10,ASI08,Каскадные сбои (цепная реакция),row-asi08-cascade,11,11-ограничение-токенов-расходов-и-частоты-вызовов,выс.,action,D,true,high,high,strong,BerriAI/litellm agentgateway/agentgateway microsoft/agent-governance-toolkit sattyamjjain/agent-airlock
ASI08,LLM10,ASI08,Каскадные сбои (цепная реакция),row-asi08-cascade,15,15-правила-последовательности-вызовов-и-потоков-данных,выс.,action,D,true,high,high,moderate,snyk/agent-scan
ASI08,LLM10,ASI08,Каскадные сбои (цепная реакция),row-asi08-cascade,16,16-ifc-capability-taint,ср.,action,D,false,high,medium,strong,
ASI08,LLM10,ASI08,Каскадные сбои (цепная реакция),row-asi08-cascade,17,17-формальная-проверка-политик-и-сужение-привилегий,выс.,action,D,partial,high,high,moderate,open-policy-agent/opa
ASI08,LLM10,ASI08,Каскадные сбои (цепная реакция),row-asi08-cascade,21,21-одобрение-опасных-действий-человеком,ср.,action,D,true,high,high,strong,Justin0504/Aegis microsoft/agent-governance-toolkit
ASI08,LLM10,ASI08,Каскадные сбои (цепная реакция),row-asi08-cascade,22,22-kill-switch-circuit-breaker,ср.,action,D,true,low,medium,strong,microsoft/agent-governance-toolkit
ASI08,LLM10,ASI08,Каскадные сбои (цепная реакция),row-asi08-cascade,23,23-единый-прокси-исходящих-запросов-и-защита-от-ssrf,выс.,network,D,true,high,high,moderate,luckyPipewrench/pipelock
ASI08,LLM10,ASI08,Каскадные сбои (цепная реакция),row-asi08-cascade,27,27-статическая-проверка-навыков-и-плагинов,ср.,supply-chain,S,partial,medium,medium,moderate,GoPlusSecurity/agentguard
ASI08,LLM10,ASI08,Каскадные сбои (цепная реакция),row-asi08-cascade,28,28-toxic-flow-analysis,ср.,supply-chain,D,true,high,medium,strong,snyk/agent-scan
ASI08,LLM10,ASI08,Каскадные сбои (цепная реакция),row-asi08-cascade,33,33-изоляция-агента-в-микровиртуальных-машинах-и-контейнерах,выс.,infra,A,true,high,high,strong,All-Hands-AI/OpenHands e2b-dev/E2B sattyamjjain/agent-airlock
ASI08,LLM10,ASI08,Каскадные сбои (цепная реакция),row-asi08-cascade,34,34-os-sandbox-openshell,выс.,infra,D,false,high,medium,medium,
ASI08,LLM10,ASI08,Каскадные сбои (цепная реакция),row-asi08-cascade,37,37-выявление-поведенческих-отклонений,ср.,behavior,S,partial,medium,low,weak,AgentOps-AI/agentops Arize-AI/phoenix Justin0504/Aegis microsoft/agent-governance-toolkit
ASI08,LLM10,ASI08,Каскадные сбои (цепная реакция),row-asi08-cascade,43,43-две-модели-с-разделением-доверия-и-карантином,выс.,architecture,A,partial,high,high,moderate,
ASI08,LLM10,ASI08,Каскадные сбои (цепная реакция),row-asi08-cascade,44,44-red-team-regression,мета,meta,T,true,high,medium,strong,NVIDIA/garak UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo microsoft/PyRIT promptfoo/promptfoo
ASI08,LLM10,ASI08,Каскадные сбои (цепная реакция),row-asi08-cascade,45,45-agentdojo-как-эталонный-набор-испытаний,мета,tests,T,false,meta-tool,n/a,strong,UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo
ASI09,LLM09,ASI09,Обман оператора через доверие к агенту,row-asi09-trust,1,01-классификация-инъекций-машинным-обучением,низ.,text,V,partial,medium,low,moderate,Justin0504/Aegis NVIDIA-NeMo/Guardrails NVIDIA/garak guardrails-ai/guardrails meta-llama/PurpleLlama microsoft/PyRIT promptfoo/promptfoo protectai/llm-guard
ASI09,LLM09,ASI09,Обман оператора через доверие к агенту,row-asi09-trust,8,08-toxicity-moderation,ср.,text,V,true,medium,low,strong,meta-llama/PurpleLlama protectai/llm-guard
ASI09,LLM09,ASI09,Обман оператора через доверие к агенту,row-asi09-trust,9,09-проверка-фактической-точности-и-галлюцинаций,ср.,text,V,partial,low,low,moderate,Arize-AI/phoenix NVIDIA-NeMo/Guardrails meta-llama/PurpleLlama protectai/llm-guard
ASI09,LLM09,ASI09,Обман оператора через доверие к агенту,row-asi09-trust,19,19-правила-против-инъекций-в-аргументах-инструментов,выс.,action,D,true,high,medium,moderate,GoPlusSecurity/agentguard Justin0504/Aegis luckyPipewrench/pipelock
ASI09,LLM09,ASI09,Обман оператора через доверие к агенту,row-asi09-trust,21,21-одобрение-опасных-действий-человеком,выс.,action,D,true,high,high,strong,Justin0504/Aegis microsoft/agent-governance-toolkit
ASI09,LLM09,ASI09,Обман оператора через доверие к агенту,row-asi09-trust,42,42-colang-dialog-rails,ср.,dialog,D,true,medium,medium,strong,NVIDIA-NeMo/Guardrails
ASI09,LLM09,ASI09,Обман оператора через доверие к агенту,row-asi09-trust,43,43-две-модели-с-разделением-доверия-и-карантином,выс.,architecture,A,partial,high,high,moderate,
ASI09,LLM09,ASI09,Обман оператора через доверие к агенту,row-asi09-trust,44,44-red-team-regression,мета,meta,T,true,high,medium,strong,NVIDIA/garak UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo microsoft/PyRIT promptfoo/promptfoo
ASI09,LLM09,ASI09,Обман оператора через доверие к агенту,row-asi09-trust,45,45-agentdojo-как-эталонный-набор-испытаний,мета,tests,T,false,meta-tool,n/a,strong,UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo
ASI10,LLM06,ASI10,Скомпрометированный (rogue) агент,row-asi10-rogue,17,17-формальная-проверка-политик-и-сужение-привилегий,выс.,action,D,partial,high,high,moderate,open-policy-agent/opa
ASI10,LLM06,ASI10,Скомпрометированный (rogue) агент,row-asi10-rogue,18,18-rebac-spicedb,ср.,action,D,true,medium,medium,strong,Agentic-AI-Risk-Mitigation/Janus authzed/spicedb
ASI10,LLM06,ASI10,Скомпрометированный (rogue) агент,row-asi10-rogue,22,22-kill-switch-circuit-breaker,ср.,action,D,true,low,medium,strong,microsoft/agent-governance-toolkit
ASI10,LLM06,ASI10,Скомпрометированный (rogue) агент,row-asi10-rogue,33,33-изоляция-агента-в-микровиртуальных-машинах-и-контейнерах,ср.,infra,A,true,high,high,strong,All-Hands-AI/OpenHands e2b-dev/E2B sattyamjjain/agent-airlock
ASI10,LLM06,ASI10,Скомпрометированный (rogue) агент,row-asi10-rogue,36,36-crypto-agent-identity,ср.,identity,D,false,medium,medium,strong,microsoft/agent-governance-toolkit
ASI10,LLM06,ASI10,Скомпрометированный (rogue) агент,row-asi10-rogue,37,37-выявление-поведенческих-отклонений,ср.,behavior,S,partial,medium,low,weak,AgentOps-AI/agentops Arize-AI/phoenix Justin0504/Aegis microsoft/agent-governance-toolkit
ASI10,LLM06,ASI10,Скомпрометированный (rogue) агент,row-asi10-rogue,38,38-skill-attribution,ср.,behavior,V,false,medium,medium,medium,GoPlusSecurity/agentguard
ASI10,LLM06,ASI10,Скомпрометированный (rogue) агент,row-asi10-rogue,39,39-неизменяемый-журнал-с-цепочкой-хешей-и-подписями,низ.,audit,D,true,audit-only,high,strong,Justin0504/Aegis luckyPipewrench/pipelock microsoft/agent-governance-toolkit
ASI10,LLM06,ASI10,Скомпрометированный (rogue) агент,row-asi10-rogue,40,40-opentelemetry-siem,низ.,meta,A,true,low,low,strong,AgentOps-AI/agentops Arize-AI/phoenix BerriAI/litellm traceloop/openllmetry
ASI10,LLM06,ASI10,Скомпрометированный (rogue) агент,row-asi10-rogue,44,44-red-team-regression,мета,meta,T,true,high,medium,strong,NVIDIA/garak UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo microsoft/PyRIT promptfoo/promptfoo
ASI10,LLM06,ASI10,Скомпрометированный (rogue) агент,row-asi10-rogue,45,45-agentdojo-как-эталонный-набор-испытаний,мета,tests,T,false,meta-tool,n/a,strong,UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo
